learning_rate,replication,method,update,selected,sample_rho,feature_cov_lambda_max,global_L_bound,global_eta_max,directional_L_bound,eta_times_directional_L,condition_holds
0.25,0,raw,1,raw,1.0,11.549399927600614,5.774699963800307,0.17316917004669866,3.086181642908341,0.7715454107270853,1.0
0.25,0,raw,2,raw,0.9980024349994318,11.549399927600614,5.774699963800307,0.17316917004669866,4.183574410855054,1.0458936027137635,0.0
0.25,0,raw,3,raw,0.9942573941706397,11.549399927600614,5.774699963800307,0.17316917004669866,3.511181917133257,0.8777954792833143,1.0
0.25,0,raw,4,raw,0.9908539732522276,11.549399927600614,5.774699963800307,0.17316917004669866,2.5231589581495504,0.6307897395373876,1.0
0.25,0,raw,5,raw,0.9778690341511287,11.549399927600614,5.774699963800307,0.17316917004669866,4.068899228604727,1.0172248071511818,0.0
0.25,0,raw,6,raw,0.9839927663554381,11.549399927600614,5.774699963800307,0.17316917004669866,3.2312722770024935,0.8078180692506234,1.0
0.25,0,raw,7,raw,0.9736648602751448,11.549399927600614,5.774699963800307,0.17316917004669866,4.432387421797869,1.1080968554494672,0.0
0.25,0,raw,8,raw,0.964987139566895,11.549399927600614,5.774699963800307,0.17316917004669866,4.299658668133038,1.0749146670332594,0.0
0.25,0,raw,9,raw,1.0,11.549399927600614,5.774699963800307,0.17316917004669866,3.4521309718471316,0.8630327429617829,1.0
0.25,0,raw,10,raw,0.9965102853624578,11.549399927600614,5.774699963800307,0.17316917004669866,3.9774446243788666,0.9943611560947166,1.0
0.25,0,raw,11,raw,0.9929814309330849,11.549399927600614,5.774699963800307,0.17316917004669866,3.946824761315103,0.9867061903287757,1.0
0.25,0,raw,12,raw,0.9911322885611149,11.549399927600614,5.774699963800307,0.17316917004669866,2.946208404738424,0.736552101184606,1.0
0.25,0,raw,13,raw,0.9848633077146336,11.549399927600614,5.774699963800307,0.17316917004669866,3.7087957784247236,0.9271989446061809,1.0
0.25,0,raw,14,raw,0.9916089211464163,11.549399927600614,5.774699963800307,0.17316917004669866,3.8440406915549477,0.9610101728887369,1.0
